date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-02-19,,,0.0,4.1,4840.0,,
2016-02-20,,,0.0,4.19,4382.0,,
2016-02-21,,,0.0,4.33,5238.0,,
2016-02-22,,,0.0,4.25,3574.0,,
2016-02-23,,,0.0,4.38,3159.0,,
2016-02-24,,,0.0,4.25,11470.0,,
2016-02-25,,,0.0,4.8,14119.0,,
2016-02-26,,,0.0,4.63,3908.0,,
2016-02-27,,,0.0,4.89,3924.0,,
2016-02-28,,,0.0,4.39,9.0,,
2016-02-29,,,0.0,5.08,5832.0,,
2016-03-01,,,0.0,5.16,13615.0,,
2016-03-02,,,0.0,5.18,30134.0,,
2016-03-03,,,0.0,7.21,57120.0,,
2016-03-04,,,0.0,8.01,20310.0,,
2016-03-05,,,0.0,7.89,28457.0,,
2016-03-06,,,0.0,7.21,18326.0,,
2016-03-07,,,0.0,8.19,19487.0,,
2016-03-08,,,0.0,8.5,25264.0,,
2016-03-09,,,0.0,8.28,22374.0,,
2016-03-10,,,0.0,8.17,43686.0,,
2016-03-11,,,0.0,9.16,29441.0,,
2016-03-12,,,0.0,9.3,65512.0,,
2016-03-13,,,0.0,10.29,5436.0,,
2016-03-14,,,0.0,10.17,20413.0,,
2016-03-15,,,0.0,10.3,48919.0,,
2016-03-16,,,0.0,12.92,127764.0,,
2016-03-17,,,0.0,15.06,31184.000000000004,,
2016-03-18,,,0.0,12.66,8312.0,,
2016-03-19,,,0.0,12.52,1721.0,,
2016-03-20,,,0.0,14.36,3102.0,,
2016-03-21,,,0.0,12.77,47335.0,,
2016-03-22,,,0.0,11.6,46246.0,,
2016-03-23,,,0.0,13.51,14210.000000000002,,
2016-03-24,,,0.0,12.13,17800.0,,
2016-03-25,,,0.0,11.63,36710.0,,
2016-03-26,,,0.0,11.52,60486.99999999999,,
2016-03-27,,,0.0,10.65,29161.0,,
2016-03-28,,,0.0,11.09,56555.0,,
2016-03-29,,,0.0,11.4,15626.0,,
2016-03-30,,,0.0,9.4,2913.0000000000005,,
2016-03-31,,,0.0,10.75,11651.0,,
2016-04-01,,,0.0,9.96,16541.0,,
2016-04-02,,,0.0,9.51,16642.0,,
2016-04-03,,,0.0,9.52,25517.0,,
2016-04-04,,,0.0,9.46,35980.0,,
