date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-04-25,2098374.9225200517,156,364921953.73432446,0.533586,370811.0,134,2571.0505517613
2018-04-26,2470342.0224875226,120,303240324.82196105,0.443149,360379.0,136,2915.6988455
2018-04-27,5961419.10936793,143,318176300.44781566,0.463461,384827.0,135,2559.019376862
2018-04-28,4302948.572468131,112,304310218.4505697,0.443195,326087.0,118,4247.137685
2018-04-29,2113422.282335613,94,316471626.1754088,0.460357,246357.0,108,2577.9992
2018-04-30,3222954.6718668933,101,312517972.2509944,0.454563,330547.0,104,2272.8104543699997
2018-05-01,1840039.7736204902,167,277036263.7037349,0.402623,740090.0,146,2858.6233
2018-05-02,606698.0066488719,116,299942858.1530657,0.435907,408418.0,108,1367.2223055
2018-05-03,7104111.209802657,149,277784898.18478596,0.401865,394014.0,141,1430.6394
2018-05-04,5954895.148006101,156,290408765.8660333,0.419636,232103.0,150,1149.470707924
2018-05-05,3246683.3261876786,128,278014664.1741863,0.400208,295085.0,120,1618.8553672799999
2018-05-06,3111485.7867322452,178,269648216.1548352,0.38725,286329.0,142,963.5586844572186
2018-05-07,7056596.295521794,188,269328191.2002552,0.384451,430279.99999999994,183,1984.9309180029231
2018-05-08,13250303.311093647,216,275675687.1012753,0.391817,276533.0,197,3917.9740915
2018-05-09,1397046.0080208823,124,254204446.115099,0.361243,277537.0,115,2456.8164307591924
2018-05-10,3632470.050984227,117,269317689.4328938,0.379819,249413.99999999997,104,2282.71219
2018-05-11,703989.8524105629,111,250708836.1763672,0.353564,351781.0,111,932.5909693772838
2018-05-12,1828608.050269404,89,237346820.24231297,0.334202,236224.00000000003,104,1927.342934
2018-05-13,1641108.363986437,126,228959634.08980688,0.322282,163174.0,125,1228.8266020248723
2018-05-14,2364771.2445477196,142,228627113.59857222,0.321454,387903.0,127,2482.74836173
2018-05-15,1045579.4940678215,115,228226470.81595907,0.320608,247355.00000000003,108,1331.761708704
2018-05-16,1943358.5171731524,107,194620299.54530203,0.271303,226967.0,100,1808.7771010000001
2018-05-17,929005.0964614851,109,190800392.5738671,0.265978,145420.0,105,2659.77734022
2018-05-18,885364.2926710916,70,176934548.28877667,0.24638,107515.0,76,1292.7583238
2018-05-19,187233.63643582692,36,185429388.63668332,0.258209,201623.0,37,1309.9648771615002
2018-05-20,1188015.64900585,73,190047819.68770707,0.263854,106239.0,74,1649.0874999999999
2018-05-21,826846.3861249171,103,179034243.2058958,0.248404,237622.0,93,1987.22951596
2018-05-22,763175.3723193809,104,176922024.85140562,0.24542,106919.0,105,926.1532115629535
2018-05-23,1752893.148648042,137,169735244.493397,0.235061,141177.0,147,705.183
