date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2019-03-14,5414104.437683593,184,118966745.43137254,1.01,79462384.0,122,2777.0455
2019-03-15,7234823.218786704,203,120887218.8118812,1.02,78038027.0,134,6892.14
2019-03-16,7972406.704550192,188,119513241.0,1.01,91777344.0,125,11093.335000000001
2019-03-17,4637116.827288991,129,118380015.0,1.01,50370188.0,120,505.0
2019-03-18,17456656.65278428,249,120999729.0,1.01,67074913.0,176,1616.0
2019-03-19,8353599.287392903,275,120429815.5882353,1.01,62530162.0,178,3049.7556
2019-03-20,18022962.061924476,206,119741266.99009901,1.02,56545380.0,142,1966.56
2019-03-21,44727720.36397633,205,120647035.0,1.01,61260525.0,147,6016.57
2019-03-22,12504509.782938173,219,120252319.0,1.01,54384456.0,133,7646.71
2019-03-23,2883319.8182605365,160,120353913.0,1.01,54047482.0,96,1805.375
2019-03-24,3306574.6901095617,181,119850518.0,1.01,49244332.0,131,2007.9456500000001
2019-03-25,8612751.508137826,265,120688608.0,1.01,55622554.0,181,3920.921
2019-03-26,10594226.735286921,244,119714376.14705881,1.01,47405788.0,179,3181.5
2019-03-27,13704073.436090663,327,122897250.0,1.02,62009065.0,204,7956.407999999999
2019-03-28,9596908.485363174,206,120163990.0,1.01,49066881.0,150,4252.3315971612
2019-03-29,7049740.460513771,276,119235985.31,1.01,65961700.0,168,2165.03789375
2019-03-30,3061539.7129227654,206,118132984.057936,0.999632,61562607.0,135,1499.0481472
2019-03-31,3537502.3229208915,187,118271807.0,1.0,50312218.0,137,2994.99246047
2019-04-01,21791432.58293539,290,115398412.0,1.0,64407270.0,192,6085.24869237
2019-04-02,52571347.76040539,718,111322455.08801967,1.0,173453585.0,327,5993.195
2019-04-03,55096149.51389403,589,111710070.66806601,0.997438,156158438.0,306,5898.8483320000005
2019-04-04,15878560.197763884,319,110766994.0,1.0,92533727.0,217,2000.0
2019-04-05,14750209.310237123,309,107451942.0,1.0,74688581.0,179,2067.929
2019-04-06,2709311.8518934906,220,107851705.499625,0.999769,83508151.0,142,899.7921
2019-04-07,5754327.14122744,223,107513504.69833037,1.0,70038223.0,134,4000.0
