date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-12-05,16448178.0177,339,62632977.03386999,1.01,1581109.0,182,2020.0
2018-12-06,21666341.1097971,185,62692772.620352626,0.99719,1401547.0,103,9971.9
2018-12-07,27539556.397927538,242,80492871.47881746,0.984059,1770460.0,141,1968.3590944549999
2018-12-08,7629908.529600001,91,84773287.0,1.02,2217177.0,62,1020.7548
2018-12-09,17954815.4754,120,85874825.94174758,1.02,2290544.0,77,2133.993
2018-12-10,20483387.6642,202,90043854.17647058,1.03,1996139.0,126,1570.54915
2018-12-11,14484268.362,288,87557100.95049505,1.02,1892202.0,129,1107.2355
2018-12-12,23973924.8829,187,87702734.0,1.01,1725511.0,81,10100.0
2018-12-13,19338640.2658,135,90006164.14,1.01,1532046.0,97,3029.6969999999997
2018-12-14,35434078.45,221,85826725.29052208,1.0,18150803.0,132,10923.7
2018-12-15,11167943.43920444,136,85502089.08680202,0.985804,18608029.0,80,9858.04
2018-12-16,10383276.52227552,169,87025122.99607445,0.984759,30732981.0,94,9847.59
2018-12-17,16658839.9825575,265,86516333.91585648,0.998075,29559287.0,152,19961.5
2018-12-18,22117952.394,320,96428232.00000003,1.08,35859122.0,172,10800.0
2018-12-19,31095867.133699995,275,108747574.02941176,1.13,38793127.0,143,23003.5795
2018-12-20,47002678.690799996,335,94712470.0,1.02,35741018.0,181,10200.0
2018-12-21,42141847.616000004,228,89200154.0,1.01,38171374.0,140,6912.0461
2018-12-22,14509794.69,139,90079500.99009901,1.0,18879709.0,70,15000.0
2018-12-23,15269612.2093,181,90170335.0,1.01,28709170.0,93,10100.0
2018-12-24,17159879.123299997,266,91540135.98,1.01,35199801.0,118,21712.09625
2018-12-25,14628853.422899999,191,91439555.0,1.01,31831491.0,88,38568.87
2018-12-26,51227782.8306,336,89547039.0,1.01,20431776.0,136,39109.725
2018-12-27,25643603.7973,197,92245222.03,1.01,23070564.0,105,10100.0
2018-12-28,16682669.15,207,91720867.32673267,1.0,16150990.0,114,8000.0
