date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2019-03-23,58923007.51886416,1179,247863704.0,1.01,23348602.0,886,202.0
2019-03-24,5058559.18537162,1006,247226412.0,1.01,17336324.0,786,202.0
2019-03-25,19274734.97369863,1407,249298995.0,1.01,34431703.0,1015,303.0
2019-03-26,24571127.79438774,1650,248448913.0,1.01,33876854.0,1212,219.67523836
2019-03-27,46835163.304728635,1813,247200992.42156863,1.01,37698423.0,1289,306.39204157
2019-03-28,8265384.84321072,1498,252005038.6336634,1.02,28392576.0,1148,267.37711146000004
2019-03-29,9968247.69750851,1768,249395129.71,1.01,37377861.0,1315,287.640748705
2019-03-30,12726533.485915,1405,246478130.0,1.0,26227081.0,1064,192.300115
2019-03-31,5795283.673194,1087,246270111.0,1.0,24262615.0,839,299.0
2019-04-01,45057862.8658,1581,253290031.0,1.0,30912903.0,1126,398.75
2019-04-02,124937923.448135,3448,257154541.0,1.0,75355543.0,2159,571.114073
2019-04-03,65937606.671132,4183,256492829.0,1.0,87987040.0,2578,500.0
2019-04-04,37833137.863387,2638,257700787.0,1.0,52686902.0,1741,336.511497
2019-04-05,30082938.675822,2248,261161960.0,1.0,43799308.0,1614,288.49
2019-04-06,12006379.14765,1790,260706591.0,1.0,43756481.0,1376,300.0
2019-04-07,8816383.568119,1720,259440975.24752474,1.0,43184042.0,1290,229.392737
2019-04-08,52600447.9629648,2688,264144133.45,1.01,49978405.0,1821,518.066812885
2019-04-09,41426772.903206,1777,266472461.0,1.0,40372954.0,1334,375.93985
2019-04-10,56307738.204748,2245,263097191.0,1.0,48590445.0,1586,379.96
2019-04-11,46871625.289946,2585,259775723.0,1.0,63695457.0,1743,310.7
2019-04-12,25804306.685432,2019,259999114.0,1.0,44545387.0,1453,300.0
2019-04-13,7940619.986726,1488,260490480.0,1.0,35520365.0,1071,196.139706
2019-04-14,9312325.03493,1103,258938936.63366336,1.0,31692818.0,844,203.0
2019-04-15,17153715.65579728,1619,261978756.68181548,1.01,44283943.0,1162,454.07755538
2019-04-16,19618149.68534245,1639,259168288.57930693,0.99909,31481366.0,1262,252.49002480000001
2019-04-17,28666450.6445656,1589,257358655.0,1.01,32737398.0,1195,377.75997881
2019-04-18,36505494.99592915,1935,255204402.26,1.01,41597044.0,1443,403.98524491
2019-04-19,18643410.624688,2086,252660269.0,1.0,34134430.0,1493,340.3596165
2019-04-20,14420860.347894,1515,252224995.0,1.0,39216250.0,1103,247.858674
