date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2018-02-02,1671994527.0307558,819768818.7725911,3833,10875369008.420164,0.41946,1438809984.0,668.419952,9764,411346.41095764615,0.171246,5695
2018-02-03,851286257.902416,622874782.1340098,2863,10395847838.62207,0.400965,1404499968.0,498.362836,7659,384538.22790139716,0.171246,4570
2018-02-04,3034118489.045129,246243727.2855168,1931,11248848458.654795,0.433865,814753984.0,337.506763,5478,182072.67117275225,0.171246,3184
2018-02-05,1222448970.7245302,256355494.29719156,2196,9983062948.121231,0.385044,658547968.0,384.825949,6138,138494.01756142656,0.171246,3549
2018-02-06,35679500865.011604,1114990370.4197006,3261,8587279106.1455,0.331209,1338390016.0,1074.824042,45042,313306.48495495215,0.171246,4941
2018-02-07,39216577043.418564,998622538.0258837,2570,9522157414.79367,0.367267,679744000.0,451.946121,6042,356003.61450917786,0.171246,3802
2018-02-08,1115780825.417077,476445532.79232657,1064,8930942426.069996,0.344464,346383008.0,183.243693,2429,322332.637523281,0.17107,1048
2018-02-09,23911113751.400562,1214554353.1193736,2089,9148314985.35272,0.352848,401271008.00000006,366.265692,5062,328413.0924618786,0.171246,2878
2018-02-10,58147698258.39172,794577761.9662101,2825,10025246291.618744,0.386671,951824000.0000001,500.431586,7637,357314.16939875006,0.171246,5318
2018-02-11,38016580748.61396,635439302.5322213,2204,10503159983.482618,0.405104,331944000.0,388.565029,5819,371461.21647809836,0.171246,3643
2018-02-12,31997879557.61362,1008126672.5669183,2958,9660296847.28889,0.372595,243039008.0,519.106738,7199,338186.45386091183,0.171246,4217
2018-02-13,28343738946.20687,729816912.3781296,2461,9941372218.990438,0.383436,225695007.99999997,432.801133,5946,346795.8146313039,0.171246,3586
2018-02-14,24289004367.623295,1121743034.1141768,2289,9690657446.61523,0.373766,299008992.0,403.669105,5376,337339.4289685004,0.171246,3270
2018-02-15,26064092406.62544,1111107478.5475426,2276,10232662856.303013,0.394671,348342016.0,399.649227,5498,353504.6348939813,0.171246,3281
2018-02-16,24522385062.119637,863674974.8478655,2405,10633780564.647404,0.410142,192420000.0,421.525819,5516,363500.49003936886,0.171246,3293
2018-02-17,24924352391.903286,1444090478.5523214,2939,10433130965.983564,0.402403,341415008.0,517.500992,6376,349828.8890223464,0.171246,3868
2018-02-18,27890031701.712612,994571957.9429173,2193,10846719595.226065,0.418355,251314000.0,385.62001,5165,360956.3505468608,0.171246,3024
2018-02-19,28841449091.891857,1854675897.0113423,1975,10031961403.612366,0.38693,169966000.0,348.599566,4804,3289373.451216095,0.171246,2841
2018-02-20,27881199699.56109,1521454464.8434765,2174,10135980809.943642,0.390942,281249984.0,381.622781,4985,961287.3901153087,0.171246,3125
2018-02-21,23193420984.237896,1452536397.640106,2079,9738026204.641636,0.375593,242378000.0,365.519263,4608,873719.4770763306,0.171246,2891
2018-02-22,19942982985.65242,1298660699.626575,1686,9402478057.950373,0.362651,208342000.00000003,295.943827,3987,2058876.1718643985,0.171246,2527
2018-02-23,14762612663.032175,1129124706.4074028,1924,8679294279.345184,0.334758,222508992.0,337.654695,4125,434549.71247575455,0.171246,2610
2018-02-24,13342030385.612997,909130840.5876737,1606,8910304477.253593,0.343668,133524000.0,280.832261,3738,341772.4478188405,0.171246,2221
2018-02-25,11854602228.443102,1309458910.2728922,2605,8352457627.583447,0.322152,247808000.0,457.527573,5400,274799.6856006002,0.171246,3279
2018-02-26,10248445703.244755,821165143.9311991,2699,8951891498.312384,0.345272,201812992.0,475.238518,5921,291786.66892038163,0.17107,3589
2018-02-27,15390949495.458046,1207811440.6809897,2295,8792699285.654236,0.339132,106757000.0,404.80439,5358,285006.08393098915,0.171246,3081
2018-02-28,45496098160.61879,1178586958.834575,3614,8672242116.146202,0.334486,114757000.0,634.44936,7728,453621.522523027,0.171246,4482
